,ft_hash,topic,livefyre_id
75,3982aef2-8193-11e6-bc52-0c7211ef3198,Russia,Mzk4MmFlZjItODE5My0xMWU2LWJjNTItMGM3MjExZWYzMTk4
76,20d25508-8164-11e6-8e50-8ec15fb462f4,Russia,MjBkMjU1MDgtODE2NC0xMWU2LThlNTAtOGVjMTVmYjQ2MmY0
77,6df9545e-7b6e-11e6-ae24-f193b105145,Russia,NmRmOTU0NWUtN2I2ZS0xMWU2LWFlMjQtZjE5M2IxMDUxNDU.
78,1c266a70-8160-11e6-8e50-8ec15fb462f4,Russia,MWMyNjZhNzAtODE2MC0xMWU2LThlNTAtOGVjMTVmYjQ2MmY0
79,9a62cc4-8197-11e6-bc52-0c7211ef3198,Russia,OWE2MmNjNC04MTk3LTExZTYtYmM1Mi0wYzcyMTFlZjMxOTg.
80,aabfad88-7f25-11e6-8e50-8ec15fb462f4,Russia,YWFiZmFkODgtN2YyNS0xMWU2LThlNTAtOGVjMTVmYjQ2MmY0
81,703a3957-f69c-31c3-8535-ddebe5115512,Russia,NzAzYTM5NTctZjY5Yy0zMWMzLTg1MzUtZGRlYmU1MTE1NTEy
82,ddf32eec-80e1-11e6-8e50-8ec15fb462f4,Russia,ZGRmMzJlZWMtODBlMS0xMWU2LThlNTAtOGVjMTVmYjQ2MmY0
83,870d9cc-80b5-11e6-8e50-8ec15fb462f4,Russia,ODcwZDljYy04MGI1LTExZTYtOGU1MC04ZWMxNWZiNDYyZjQ.
84,7fa586e1-55cb-3132-adf1-a61c8557f20a,Russia,N2ZhNTg2ZTEtNTVjYi0zMTMyLWFkZjEtYTYxYzg1NTdmMjBh
85,84d5531c-8177-11e6-8e50-8ec15fb462f4,Russia,ODRkNTUzMWMtODE3Ny0xMWU2LThlNTAtOGVjMTVmYjQ2MmY0
86,fa8618c2-7f3c-11e6-8e50-8ec15fb462f4,Russia,ZmE4NjE4YzItN2YzYy0xMWU2LThlNTAtOGVjMTVmYjQ2MmY0
87,d9b45b2-8009-11e6-8e50-8ec15fb462f4,Russia,ZDliNDViMi04MDA5LTExZTYtOGU1MC04ZWMxNWZiNDYyZjQ.
88,490e411b-f4c1-3ff3-a561-25fac1023a6d,Russia,NDkwZTQxMWItZjRjMS0zZmYzLWE1NjEtMjVmYWMxMDIzYTZk
89,01323-a40e-3339-ac6d-8b04d3de70a,Russia,MDEzMjMtYTQwZS0zMzM5LWFjNmQtOGIwNGQzZGU3MGE.
90,21c19fbc-80a3-11e6-8e50-8ec15fb462f4,Russia,MjFjMTlmYmMtODBhMy0xMWU2LThlNTAtOGVjMTVmYjQ2MmY0
91,7fd9cd68-7ff4-11e6-8e50-8ec15fb462f4,Russia,N2ZkOWNkNjgtN2ZmNC0xMWU2LThlNTAtOGVjMTVmYjQ2MmY0
